Place_Name,State_FIPS,Place_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Harmony town,37,29640,3729640,192,88.5,183,84.3
Harrells town,37,29680,3729680,70,86.4,68,84.0
Harrellsville town,37,29720,3729720,47,90.4,31,59.6
Harrisburg town,37,29800,3729800,4600,98.0,4511,96.1
Hassell town,37,30040,3730040,6,27.3,4,18.2
Hatteras CDP,37,30100,3730100,171,100.0,171,100.0
Burgaw town,37,08960,3708960,1113,84.4,986,74.8
Burlington city,37,09060,3709060,20348,89.5,18087,79.5
Burnsville town,37,09140,3709140,667,80.2,597,71.8
Butner town,37,09360,3709360,2575,92.3,2322,83.2
Butters CDP,37,09380,3709380,109,88.6,109,88.6
Buxton CDP,37,09400,3709400,600,100.0,543,90.5
Cajah's Mountain town,37,09530,3709530,886,84.4,870,82.9
Calabash town,37,09540,3709540,786,82.0,713,74.3
Calypso town,37,09760,3709760,246,90.1,190,69.6
Camden CDP,37,09780,3709780,328,96.2,292,85.6
Cameron town,37,09800,3709800,144,88.9,144,88.9
Candor town,37,10120,3710120,304,82.4,281,76.2
Canton town,37,10240,3710240,1435,82.3,1206,69.2
Cape Carteret town,37,10260,3710260,1046,96.7,993,91.8
Cape Colony CDP,37,10264,3710264,343,91.2,267,71.0
Caroleen CDP,37,10460,3710460,147,60.0,130,53.1
Carolina Beach town,37,10500,3710500,2746,98.1,2464,88.0
Carolina Meadows CDP,37,10532,3710532,368,95.8,142,37.0
Carolina Shores town,37,10550,3710550,2157,95.7,2084,92.5
Carrboro town,37,10620,3710620,8527,95.2,8259,92.2
Carthage town,37,10680,3710680,762,74.6,701,68.6
Cary town,37,10740,3710740,62421,98.3,60747,95.6
Casar town,37,10760,3710760,67,60.9,65,59.1
Cashiers CDP,37,10800,3710800,323,88.5,301,82.5
Castalia town,37,10860,3710860,72,59.5,65,53.7
Castle Hayne CDP,37,10880,3710880,446,85.0,416,79.2
Caswell Beach town,37,10960,3710960,226,96.2,202,86.0
Catawba town,37,10980,3710980,285,95.6,266,89.3
Cedar Point town,37,11340,3711340,792,95.8,770,93.1
Cedar Rock village,37,11352,3711352,133,95.7,133,95.7
Centerville CDP,37,11560,3711560,89,92.7,89,92.7
Cerro Gordo town,37,11620,3711620,75,44.9,66,39.5
Chadbourn town,37,11640,3711640,639,83.6,546,71.5
Chapel Hill town,37,11800,3711800,19386,97.6,17850,89.9
Charlotte city,37,12000,3712000,321568,94.9,303196,89.4
Cherokee CDP,37,12140,3712140,736,77.8,664,70.2
Cherry Branch CDP,37,12186,3712186,488,100.0,488,100.0
Cherryville city,37,12340,3712340,2013,84.1,1793,74.9
Chimney Rock Village village,37,12460,3712460,83,100.0,81,97.6
China Grove town,37,12480,3712480,1709,85.0,1737,86.4
Bunnlevel CDP,37,08880,3708880,291,82.4,280,79.3
Chinquapin CDP,37,12520,3712520,0,-666666666.0,0,-666666666.0
Chocowinity town,37,12580,3712580,535,87.8,453,74.4
Chowan Beach CDP,37,12590,3712590,163,84.5,68,35.2
Claremont city,37,12720,3712720,727,89.0,699,85.6
Clarkton town,37,12780,3712780,304,90.2,280,83.1
Clayton town,37,12860,3712860,8050,96.6,6966,83.6
Clemmons village,37,12960,3712960,7462,94.2,7171,90.5
Cleveland town,37,13000,3713000,398,93.6,305,71.8
Cliffside CDP,37,13100,3713100,238,85.6,152,54.7
Clinton city,37,13240,3713240,2445,78.2,2091,66.9
Clyde town,37,13280,3713280,529,91.7,424,73.5
Coats town,37,13360,3713360,964,88.2,831,76.0
Cofield village,37,13460,3713460,149,88.7,103,61.3
Edenton town,37,20120,3720120,1837,86.4,1598,75.2
Edneyville CDP,37,20280,3720280,846,91.9,717,77.9
Efland CDP,37,20420,3720420,263,100.0,196,74.5
Elizabeth City city,37,20580,3720580,5640,88.1,5133,80.1
Elizabethtown town,37,20600,3720600,1304,87.2,1231,82.3
Elkin town,37,20620,3720620,1148,77.1,968,65.0
Elk Park town,37,20700,3720700,176,74.3,174,73.4
Ellenboro town,37,20780,3720780,238,84.1,215,76.0
Ellerbe town,37,20840,3720840,380,77.7,328,67.1
Elm City town,37,20980,3720980,502,80.3,443,70.9
Elon town,37,21095,3721095,3098,92.0,2892,85.9
Elrod CDP,37,21120,3721120,161,83.4,93,48.2
Elroy CDP,37,21130,3721130,1373,91.0,1359,90.1
Emerald Isle town,37,21160,3721160,1680,98.4,1587,92.9
Emma CDP,37,21260,3721260,745,75.8,729,74.2
Enfield town,37,21360,3721360,689,70.4,315,32.2
Engelhard CDP,37,21380,3721380,72,100.0,72,100.0
Enochville CDP,37,21500,3721500,1206,92.5,1104,84.7
Erwin town,37,21740,3721740,1597,89.9,1380,77.7
