Census_Tract_Name,County_Name,State_FIPS,County_FIPS,Census_Tract_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Census Tract 415.10, Johnston ,37,101,041510,37101041510,462,67.0,425,61.6
Census Tract 415.11, Johnston ,37,101,041511,37101041511,608,93.3,489,75.0
Census Tract 9201, Jones ,37,103,920100,37103920100,1134,76.9,929,63.0
Census Tract 9202, Jones ,37,103,920200,37103920200,1023,86.4,785,66.3
Census Tract 9203, Jones ,37,103,920300,37103920300,1113,78.9,915,64.9
Census Tract 301.01, Lee ,37,105,030101,37105030101,1477,91.1,1292,79.7
Census Tract 301.02, Lee ,37,105,030102,37105030102,1844,86.3,1536,71.9
Census Tract 302, Lee ,37,105,030200,37105030200,838,82.3,494,48.5
Census Tract 303, Lee ,37,105,030300,37105030300,678,78.0,446,51.3
Census Tract 304.01, Lee ,37,105,030401,37105030401,1121,86.7,891,68.9
Census Tract 304.02, Lee ,37,105,030402,37105030402,2505,88.0,1936,68.0
Census Tract 305.02, Lee ,37,105,030502,37105030502,805,95.2,720,85.1
Census Tract 305.04, Lee ,37,105,030504,37105030504,1507,90.2,1304,78.1
Census Tract 411.04, Johnston ,37,101,041104,37101041104,1748,97.7,1005,56.2
Census Tract 305.05, Lee ,37,105,030505,37105030505,926,89.2,814,78.4
Census Tract 305.06, Lee ,37,105,030506,37105030506,434,93.5,401,86.4
Census Tract 305.07, Lee ,37,105,030507,37105030507,1545,98.7,1507,96.2
Census Tract 306.01, Lee ,37,105,030601,37105030601,1093,89.7,1048,86.0
Census Tract 306.02, Lee ,37,105,030602,37105030602,1952,94.3,1704,82.3
Census Tract 307.02, Lee ,37,105,030702,37105030702,1491,84.7,1279,72.6
Census Tract 307.03, Lee ,37,105,030703,37105030703,581,95.6,581,95.6
Census Tract 5.04, Pitt ,37,147,000504,37147000504,1965,100.0,1607,81.8
Census Tract 6.02, Pitt ,37,147,000602,37147000602,2048,89.2,1903,82.9
Census Tract 6.04, Pitt ,37,147,000604,37147000604,2461,87.3,2541,90.1
Census Tract 6.05, Pitt ,37,147,000605,37147000605,2219,96.6,2062,89.8
Census Tract 6.06, Pitt ,37,147,000606,37147000606,1339,100.0,1307,97.6
Census Tract 6.07, Pitt ,37,147,000607,37147000607,2645,95.6,2478,89.6
Census Tract 7.01, Pitt ,37,147,000701,37147000701,1405,89.1,1305,82.8
Census Tract 7.02, Pitt ,37,147,000702,37147000702,738,69.6,679,64.0
Census Tract 8, Pitt ,37,147,000800,37147000800,1015,87.2,948,81.4
Census Tract 9.01, Pitt ,37,147,000901,37147000901,1649,93.7,1129,64.1
Census Tract 9.02, Pitt ,37,147,000902,37147000902,1012,93.4,955,88.2
Census Tract 10.01, Pitt ,37,147,001001,37147001001,849,96.6,695,79.1
Census Tract 10.02, Pitt ,37,147,001002,37147001002,2285,93.5,2147,87.8
Census Tract 10.03, Pitt ,37,147,001003,37147001003,1993,96.5,1976,95.6
Census Tract 11, Pitt ,37,147,001100,37147001100,1889,90.6,1738,83.4
Census Tract 12, Pitt ,37,147,001200,37147001200,2136,83.3,1952,76.2
Census Tract 13.01, Pitt ,37,147,001301,37147001301,1488,87.5,1424,83.8
Census Tract 13.02, Pitt ,37,147,001302,37147001302,2235,92.9,2166,90.0
Census Tract 13.04, Pitt ,37,147,001304,37147001304,1508,96.4,1527,97.6
Census Tract 13.05, Pitt ,37,147,001305,37147001305,1747,97.0,1626,90.3
Census Tract 14.02, Pitt ,37,147,001402,37147001402,987,91.6,859,79.8
Census Tract 14.03, Pitt ,37,147,001403,37147001403,1117,91.8,1062,87.3
Census Tract 14.04, Pitt ,37,147,001404,37147001404,434,70.0,468,75.5
Census Tract 15, Pitt ,37,147,001500,37147001500,1103,81.2,1021,75.2
Census Tract 16.01, Pitt ,37,147,001601,37147001601,1556,92.3,1549,91.9
Census Tract 16.02, Pitt ,37,147,001602,37147001602,1901,91.9,1769,85.5
Census Tract 17, Pitt ,37,147,001700,37147001700,1589,92.9,1525,89.1
Census Tract 18, Pitt ,37,147,001800,37147001800,2240,89.5,2135,85.3
Census Tract 19, Pitt ,37,147,001900,37147001900,1010,79.5,772,60.7
Census Tract 20.02, Pitt ,37,147,002002,37147002002,1714,82.4,1552,74.6
Census Tract 20.03, Pitt ,37,147,002003,37147002003,1035,65.6,901,57.1
Census Tract 20.04, Pitt ,37,147,002004,37147002004,506,86.1,506,86.1
Census Tract 9201.01, Polk ,37,149,920101,37149920101,1218,86.7,1035,73.7
Census Tract 9201.03, Polk ,37,149,920103,37149920103,1257,93.5,1174,87.3
Census Tract 9201.04, Polk ,37,149,920104,37149920104,1290,87.6,1078,73.2
Census Tract 9202.01, Polk ,37,149,920201,37149920201,1081,93.4,1009,87.2
Census Tract 9202.02, Polk ,37,149,920202,37149920202,622,84.5,544,73.9
Census Tract 9203.01, Polk ,37,149,920301,37149920301,506,90.4,394,70.4
Census Tract 9203.03, Polk ,37,149,920303,37149920303,980,93.2,946,89.9
